Key,Source,Context,Changes,English,Russian

xuiAccessories,UI,XUI,,Acessórios
statWeaponHandling,ui_display,Item stat,,Manipulação de Armas
statControlResist,ui_display,Item stat,,"Resistência (Atordoamento, Choque)"
statCritResist,ui_display,Item stat,,Resistência a Golpes Críticos
statFoodWaterUseAOE,ui_display,Item stat,,Perda de comida/água (Próprio e grupo)
statCarryCapacityAOE,ui_display,Item stat,,Capacidade de Carga (Próprio e grupo)
statRegHealthIncreaseSpeedAOE,ui_display,Item stat,,Velocidade de Regeneração de Saúde (Próprio e grupo)
statLootQuantityFood,ui_display,Item stat,,Comida e medicina no saque (Próprio e grupo)
statRunSpeedAOE,ui_display,Item stat,,Velocidade de Corrida (Próprio e grupo)
statEliteDamage,ui_display,Item stat,,"Bônus de Dano (Elite, Minions)"
statBossDamage,ui_display,Item stat,,Bônus de Dano (Chefes)
statDegradationPerUseDU,ui_display,Item stat,,Degradação por Uso


ammo762mmBulletDU,items,Ammo,,7.62mm [5AFF75]Munição de Urânio Empobrecido[-]
ammo762mmBulletDUDesc,items,Ammo,,"Munições experimentais de urânio empobrecido 7.62.\nSignificativamente mais fortes do que as munições comuns e melhoradas deste calibre. Ignora armaduras e penetra até 3 alvos. A munição é projetada especificamente para combater grandes mutantes. Ao atingir chefes ou inimigos elites, o dano é significativamente aumentado.\n\nNão pode ser fabricada de forma independente. Esse tipo de munição pode ser solicitado no suporte ou encontrado no loot de chefes."
ammo44MagnumBulletDU,items,Ammo,,.44 [5AFF75]Munição de Urânio Empobrecido[-]
ammo44MagnumBulletDUDesc,items,Ammo,,"Munições experimentais de urânio empobrecido .44.\nSignificativamente mais fortes do que as munições comuns e melhoradas deste calibre. Ignora armaduras e penetra até 3 alvos. A munição é projetada especificamente para combater grandes mutantes. Ao atingir chefes ou inimigos elites, o dano é significativamente aumentado.\n\nNão pode ser fabricada de forma independente. Esse tipo de munição pode ser solicitado no suporte ou encontrado no loot de chefes."
ammo9mmBulletDU,items,Ammo,,9mm [5AFF75]Munição de Urânio Empobrecido[-]
ammo9mmBulletDUDesc,items,Ammo,,"Munições experimentais de urânio empobrecido 9mm.\nSignificativamente mais fortes do que as munições comuns e melhoradas deste calibre. Ignora armaduras e penetra até 3 alvos. A munição é projetada especificamente para combater grandes mutantes. Ao atingir chefes ou inimigos elites, o dano é significativamente aumentado.\n\nNão pode ser fabricada de forma independente. Esse tipo de munição pode ser solicitado no suporte ou encontrado no loot de chefes."
ammoShotgunSlugDU,items,Ammo,,Cartuchos de espingarda [5AFF75]Munição de Urânio Empobrecido[-]
ammoShotgunSlugDUDesc,items,Ammo,,"Cartuchos de espingarda experimentais com munição de urânio empobrecido.\nSignificativamente mais fortes do que as munições comuns e melhoradas deste calibre. Ignora armaduras e penetra até 3 alvos. A munição é projetada especificamente para combater grandes mutantes. Ao atingir chefes ou inimigos elites, o dano é significativamente aumentado.\n\nNão pode ser fabricada de forma independente. Esse tipo de munição pode ser solicitado no suporte ou encontrado no loot de chefes."
resourceMutationSamples,items,RareResources,,Amostras de Mutação de Zumbis
resourceMutationSamplesDesc,items,RareResources,,"Uma substância extremamente repugnante e com um cheiro ainda pior. No entanto, é um recurso extremamente procurado no mundo exterior. Cientistas ainda estão tentando entender como ocorrem as mutações complexas e com o que exatamente isso está relacionado; agora eles poderão acelerar significativamente suas pesquisas.\n\n[DECEA3]Em troca, os cientistas estão prontos para fornecer a você a tecnologia mais recente que possuem. Use a estação de rádio para trocar por conjuntos de munição experimental[-]"

resourceMechanicalPartsImp,items,item,,Peças Mecânicas [DECEA3]Melhoradas[-]
resourceMechanicalPartsImpDesc,items,item,,"Peças mecânicas melhoradas permitem criar itens mais complexos.\nSomente um Engenheiro Avançado pode criar esses itens."

resourceElectricPartsImp,items,item,,Peças Elétricas [DECEA3]Melhoradas[-]
resourceElectricPartsImpDesc,items,item,,"Peças elétricas melhoradas permitem criar itens mais complexos.\nSomente um Engenheiro Avançado pode criar esses itens."

DewCollectorBundleWater,items,item,,Garrafa de água
resourceReactorBatteryDesc,items,item,,"Água purificada do coletor  CWB é coletada em uma grande garrafa. Com elas, você não terá problemas com água."

resourceReactorBattery,items,item,,Bateria de Reator
resourceReactorBatteryDesc,items,item,,"Uma pequena bateria caseira com alguma carga restante de um pack de baterias. Usada para carregar ferramentas [FFB800]de Reator[-]"

PortableReactor,items,item,,Reator [FFB800]Portátil[-]
PortableReactorDesc,items,item,,"Tecnologia experimental em energia. A fonte de energia mais poderosa e duradoura. [DECEA3]Homem de Ferro[-] está descansando.\n\nUsada para criar ferramentas de reator e operar fontes de energia poderosas."
forgeImp,blocks,Workstation,,Forja [FFD700] CWB [-][DECEA3]Melhorada[-]
forgeImpDesc,blocks,Workstation,,"Esta grande forja melhorada é uma grande economizadora de tempo. Ferramentas aprimoradas permitem fundir grandes quantidades de recursos muito mais rapidamente."

workbenchImp,blocks,Workstation,,Bancada [FFD700] CWB [-][DECEA3]Melhorada[-]
workbenchImpDesc,blocks,Workstation,,"Você pode criar quase qualquer coisa em uma bancada comum, mas isso leva tempo. A versão aprimorada da bancada permite adicionar modificações que aceleram a criação de itens e permitem criar itens complexos e únicos."

kitchenStove,blocks,Workstation,,Fogão de Cozinha
kitchenStoveDesc,blocks,Workstation,,"Esqueça de cozinhar sobre uma fogueira. Agora você pode cozinhar comida realmente caseira.\nPermite usar acessórios de cozinha, que aumentam a velocidade de cozimento e reduzem a quantidade de recursos necessários."

DewCollectorImp,blocks,Workstation,,Coletor de Orvalho [DECEA3] CWB[-]
DewCollectorImpDesc,blocks,Workstation,,"Não haverá mais problemas com água. O coletor de orvalho  CWB permite coletar água 30% mais rápido.\nAo instalar um filtro de água, a água é coletada em garrafas. Isso aumenta significativamente a quantidade de água obtida."

cementMixerImp,blocks,Workstation,,Betoneira [FFD700] CWB [-][DECEA3]Melhorada[-]
cementMixerImpDesc,blocks,Workstation,,"Agora você pode construir uma cidade inteira.\nA velocidade de processamento de recursos foi aumentada e o custo das receitas foi reduzido."

ReactorСhargingStation,blocks,BatteryBank,,[FFB800]Reator[-] Estação de Carregamento
ReactorСhargingStationDesc,blocks,BatteryBank,,"Estação experimental para carregar um instrumento de reator.\n\nATENÇÃO! Requer conexão à rede elétrica para carregamento."

toolBellowsImp,items,item,,Mecas [DECEA3]Melhoradas[-]
toolBellowsImpDesc,items,item,,"Mecas de ferreiro para a forja melhorada. Aumenta a velocidade de fundição em 2x."

toolAnvilImp,items,item,,Bigorna [FFD700] CWB [-][DECEA3]Melhorada[-]
toolAnvilImpDesc,items,item,,"Bigorna para a forja melhorada. Aumenta a velocidade de criação em 2x."

toolSmallParts,items,item,,Peças Pequenas [DECEA3]Bancada[-]
toolSmallPartsDesc,items,item,,"É bom ter parafusos e parafusos à mão. Isso permite economizar muito tempo. Aumenta a velocidade de criação de itens em 30%."

toolImprovedTools,items,item,,Ferramentas Melhoradas [DECEA3]Bancada[-]
toolImprovedToolsDesc,items,item,,"Uma boa ferramenta é o principal necessário para criar receitas complexas. Agora você pode criar itens raros e únicos."

toolKitchenKnives,items,item,,Facas de Cozinha Ururu [DECEA3]Fogão[-]
toolKitchenKnivesDesc,items,item,,"Boas facas afiadas são sempre úteis na cozinha. Especialmente se forem afiadas por [FFB800]Ururu[-]. Você não cortará seus dedos e, além disso, isso reduzirá o tempo de cozimento."

resourceConcreteBundle,items,item,,Pacote de Concreto [DECEA3]1000[-]
resourceConcreteBundleDesc,items,item,,"Pacote compacto de concreto. Requer menos recursos ao criar.\nAbra este pacote para obter 1000 concreto."

0000 -- ARMOR -- 0000

resourceArmorCraftingKitImp,items,Resources,,Kit de Criação de Armadura [DECEA3] CWB[-]
resourceArmorCraftingKitImpDesc,items,Resources,,"Criando armaduras experimentais, você pode melhorar significativamente suas estatísticas. Mas você também precisa dos acessórios apropriados.\n\nUsado para fazer armaduras experimentais."

buffRescuerSetBonus,buffs,Buff,,[FFD700] CWB [-][FFB800]Salvador[-]
buffRescuerSetBonusName,buffs,buff,,Bônus de Armadura
buffRescuerSetBonusTooltip,buffs,buff,,Você se beneficia do bônus de armadura do Salvador
buffRescuerSetBonusDesc,buffs,Buff,,"Você equipou um conjunto completo da armadura experimental [FFD700] CWB [-][FFB800]Salvador[-] Bloodborne\nOs membros do seu grupo se beneficiam dos seguintes bônus: Consumo de comida e água reduzido em [DECEA3]{cvar(.armorRescuerFoodWaterFSBDisplay:0)}%[-], Capacidade de carga aumentada em [DECEA3]{cvar(.armorRescuerCarryCapacityFSBDisplay:0)}%[-], Regeneração de saúde com cura aumentada em [DECEA3]{cvar(.armorRescuerRegHealthFSBDisplay:0)}%[-], Mais comida e medicina no loot em [DECEA3]{cvar(.armorRescuerFoodLootFSBDisplay:0)}%[-] e velocidade de corrida aumentada em [DECEA3]{cvar(.armorRescuerRunSpeedFSBDisplay:0)}%[-]\n[FFB800]Suporte ao Grupo[-] - Usar [8692FF]Elixires Super[-] e [8692FF]Kit de Primeiros Socorros do Salvador[-] aplicará o efeito a todos os membros do grupo. Ao usar [8692FF]Kit de Primeiros Socorros do Salvador[-], você aplica o efeito [FFB800]Defesa do Salvador[-] a um aliado.\n\n[DECEA3]Concede resistência ao [DECEA3]1[-] efeito de radiação ativa[-]"
buffRescuerSetBonusOtherT1Name,buffs,buff,,Rescuer is nearby,Espalhador está próximo
